model,feature_set,feature,importance
LR,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.6185120160315464
RF,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
RF,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
RF,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
RF,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
RF,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0
TNET,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0032696735681394472
TNET,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0021695198336515262
TNET,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,1.4541195284386527e-05
TNET,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0015115545913746682
TNET,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.023101466305846252
EBM,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.006338205540440922
EBM,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.0053681798319171765
EBM,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.00838189992833753
EBM,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.009739169873711769
EBM,20_latest+demo,latest_rx_METOPROLOL TARTRATE 25 MG TABLET,0.014682593866278468
LR,20_latest+demo,latest_BP_SYS,0.005181788518212152
LR,20_latest+demo,latest_BP_SYS,0.005389592811588495
LR,20_latest+demo,latest_BP_SYS,0.0019823411864341106
LR,20_latest+demo,latest_BP_SYS,0.005182656743063884
LR,20_latest+demo,latest_BP_SYS,0.005219751711628453
RF,20_latest+demo,latest_BP_SYS,0.1549429345017651
RF,20_latest+demo,latest_BP_SYS,0.1440761108658546
RF,20_latest+demo,latest_BP_SYS,0.09572639894193076
RF,20_latest+demo,latest_BP_SYS,0.1107465462888828
RF,20_latest+demo,latest_BP_SYS,0.10752434294600777
XGB,20_latest+demo,latest_BP_SYS,0.18831224739551544
XGB,20_latest+demo,latest_BP_SYS,0.18872198462486267
XGB,20_latest+demo,latest_BP_SYS,0.1835477650165558
XGB,20_latest+demo,latest_BP_SYS,0.19218496978282928
XGB,20_latest+demo,latest_BP_SYS,0.2042044699192047
TNET,20_latest+demo,latest_BP_SYS,0.15252993844329799
TNET,20_latest+demo,latest_BP_SYS,0.0003332766298497117
TNET,20_latest+demo,latest_BP_SYS,0.04390351830328318
TNET,20_latest+demo,latest_BP_SYS,0.054772644865975516
TNET,20_latest+demo,latest_BP_SYS,0.0077934928401557895
EBM,20_latest+demo,latest_BP_SYS,0.012262825621045454
EBM,20_latest+demo,latest_BP_SYS,0.011986921999625776
EBM,20_latest+demo,latest_BP_SYS,0.014449080722723232
EBM,20_latest+demo,latest_BP_SYS,0.0214247634792733
EBM,20_latest+demo,latest_BP_SYS,0.03199595660127449
LR,20_latest+demo,latest_PULSE,0.004870312250737341
LR,20_latest+demo,latest_PULSE,0.005844388003085499
LR,20_latest+demo,latest_PULSE,0.007523376440773387
LR,20_latest+demo,latest_PULSE,0.009283587206537377
LR,20_latest+demo,latest_PULSE,0.006718293028509893
RF,20_latest+demo,latest_PULSE,0.09374005999589263
RF,20_latest+demo,latest_PULSE,0.11902946059131443
RF,20_latest+demo,latest_PULSE,0.09245133887152318
RF,20_latest+demo,latest_PULSE,0.07906325484095872
RF,20_latest+demo,latest_PULSE,0.08294131054191853
XGB,20_latest+demo,latest_PULSE,0.17227190732955933
XGB,20_latest+demo,latest_PULSE,0.18606163561344147
XGB,20_latest+demo,latest_PULSE,0.15807276964187622
XGB,20_latest+demo,latest_PULSE,0.19548359513282776
XGB,20_latest+demo,latest_PULSE,0.18492335081100464
TNET,20_latest+demo,latest_PULSE,0.1589585211695787
TNET,20_latest+demo,latest_PULSE,0.015354253984255672
TNET,20_latest+demo,latest_PULSE,0.11779750055360147
TNET,20_latest+demo,latest_PULSE,0.11642633268658106
TNET,20_latest+demo,latest_PULSE,0.0374264586510316
EBM,20_latest+demo,latest_PULSE,0.01305627367348949
EBM,20_latest+demo,latest_PULSE,0.01788419922402325
EBM,20_latest+demo,latest_PULSE,0.01696940162688558
EBM,20_latest+demo,latest_PULSE,0.019483779676095506
EBM,20_latest+demo,latest_PULSE,0.02908596851367417
LR,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.5792189369870817
LR,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.4402750743789501
LR,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.5262082703332767
LR,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.5459566196181153
LR,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.575429873034536
RF,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.013846554711451312
RF,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0
RF,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0021306559441423715
RF,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.011694409373907018
RF,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.047225517738324355
XGB,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.0
TNET,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.047449892378768864
TNET,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.05785640153998594
TNET,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.01464302224586424
TNET,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.04087956581397956
TNET,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.09011457417981932
EBM,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.010265473098672774
EBM,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.009032595834939343
EBM,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.014993337944551786
EBM,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.018921391035416728
EBM,20_latest+demo,latest_rx_ATORVASTATIN 40 MG TABLET,0.024629179214331404
LR,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.9166874557185054
LR,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.5796618187372442
LR,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.9060581505005447
LR,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.9771514478703548
LR,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,1.0126183066733863
RF,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
RF,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
RF,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
RF,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
RF,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
XGB,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
XGB,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
XGB,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
XGB,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
XGB,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0
TNET,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.018714183292981672
TNET,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.023639919116446383
TNET,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.12636099311819968
TNET,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.010152002501526085
TNET,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.07073550048679493
EBM,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.0038226554314876463
EBM,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.002787191392206931
EBM,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.005112360659785775
EBM,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.006058072413330364
EBM,20_latest+demo,latest_rx_famotidine (PEPCID) 20 mg tablet,0.008851228186993382
LR,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.4220869878538346
LR,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.39305180188287786
LR,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.48379245033467083
LR,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.49292771230063287
LR,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.42704386744758954
RF,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.008662568862388698
RF,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.007248670593286355
RF,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.011655910700966754
RF,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.013280474683201274
RF,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.009110277461563189
XGB,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.0
XGB,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.0
TNET,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.00012556756083183276
TNET,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,4.248231694898559e-06
TNET,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.04579332865130591
TNET,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.04302373162554886
TNET,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.0
EBM,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.006151896185349418
EBM,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.006143087490258617
EBM,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.011142621250355696
EBM,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.014658146987254272
EBM,20_latest+demo,latest_rx_HYDROCODONE 5 MG-ACETAMINOPHEN 325 MG TABLET,0.01800354712422431
LR,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.05980109610755345
LR,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.03892706995838384
LR,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.05362560415871509
LR,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.007291335093346907
LR,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.10064681141319354
RF,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.018349359207433354
RF,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.017949702693308336
RF,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.027138793671274246
RF,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.018530756215007826
RF,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.02057801723073191
XGB,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.11459194123744965
XGB,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.09576772153377533
XGB,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.10140815377235413
XGB,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.1013229638338089
XGB,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.11756815761327744
TNET,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.05526685168076714
TNET,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.17357426194944997
TNET,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.18527715356847868
TNET,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.06882480538614712
TNET,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.06990604203599152
EBM,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.00033491357013313113
EBM,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.003061237332348135
EBM,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.013777546835609117
EBM,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.009846552560681118
EBM,20_latest+demo,latest_ALCOHOL_USE_STATUS_Yes,0.018986266269096497
LR,20_latest+demo,latest_dx_L723,1.0151264566737221
LR,20_latest+demo,latest_dx_L723,0.7893032384478591
LR,20_latest+demo,latest_dx_L723,1.449772642451114
LR,20_latest+demo,latest_dx_L723,0.8086801576420842
LR,20_latest+demo,latest_dx_L723,0.6416012517944346
RF,20_latest+demo,latest_dx_L723,0.0
RF,20_latest+demo,latest_dx_L723,0.0
RF,20_latest+demo,latest_dx_L723,0.0
RF,20_latest+demo,latest_dx_L723,0.0
RF,20_latest+demo,latest_dx_L723,0.0
XGB,20_latest+demo,latest_dx_L723,0.0
XGB,20_latest+demo,latest_dx_L723,0.0
XGB,20_latest+demo,latest_dx_L723,0.0
XGB,20_latest+demo,latest_dx_L723,0.0
XGB,20_latest+demo,latest_dx_L723,0.0
TNET,20_latest+demo,latest_dx_L723,0.014949640442107719
TNET,20_latest+demo,latest_dx_L723,0.03454302587265651
TNET,20_latest+demo,latest_dx_L723,0.02163542266318479
TNET,20_latest+demo,latest_dx_L723,0.009276462588484115
TNET,20_latest+demo,latest_dx_L723,0.0002930528927238905
EBM,20_latest+demo,latest_dx_L723,0.000342146846281217
EBM,20_latest+demo,latest_dx_L723,0.00042347170358188646
EBM,20_latest+demo,latest_dx_L723,0.0008379200926780739
EBM,20_latest+demo,latest_dx_L723,0.0006468787189509416
EBM,20_latest+demo,latest_dx_L723,0.0006620798107527224
LR,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.8156948138604434
LR,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,1.0056139605081031
LR,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.9425829046252852
LR,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.9713929223781865
LR,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.7633399034081412
RF,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
RF,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
RF,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
RF,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
RF,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
XGB,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
XGB,20_latest+demo,latest_rx_atorvastatin (LIPITOR) 80 mg tablet,0.0
