feature,factor,weight
Visual disturbances (H53),0,9.733421057588679e-05
Other acute postprocedural pain (G8918),0,0.0
Hypotension (I95),0,0.0
Mixed incontinence (N3946),0,0.0002725714269805955
"Other specified disorders of bone density and structure, unspecified site (M8580)",0,0.0
"Unspecified blepharitis right eye, unspecified eyelid (H01003)",0,0.0
Fibroblastic disorders (M72),0,0.0
Pain in unspecified ankle and joints of unspecified foot (M25579),0,0.0
Symptoms and signs concerning food and fluid intake (R63),0,0.0
dx_W19.xxxA,0,0.0
Hypertensive chronic kidney disease (I12),0,0.0
Other forms of dyspnea (R0609),0,0.0
"Chronic rhinitis, nasopharyngitis and pharyngitis (J31)",0,0.0
Pain associated with micturition (R30),0,0.0
Polyp of colon (K635),0,0.0
"Findings of drugs and other substances, not normally found in blood (R78)",0,0.0
Cyst and mucocele of nose and nasal sinus (J341),0,0.0
Other specified abnormal immunological findings in serum (R768),0,0.0
"Nicotine dependence, unspecified, uncomplicated (F17200)",0,0.0
Pain in unspecified hip (M25559),0,0.0
Localized edema (R600),0,9.030552737925418e-05
Fibrosis and cirrhosis of liver (K74),0,0.000160387290540697
"Lymphedema, not elsewhere classified (I890)",0,0.0
Abnormal results of liver function studies (R945),0,6.476257190043355e-05
"Major depressive disorder, recurrent (F33)",0,0.0
"Vitreous degeneration, right eye (H43811)",0,0.0
Abnormal involuntary movements (R25),0,0.0
"Fatty (change of) liver, not elsewhere classified (K760)",0,5.305544376770506e-05
"Abdominal aortic aneurysm, without rupture (I714)",0,0.0
Low back pain (M545),0,0.0
Hypoxemia (R0902),0,0.0
"Basal cell carcinoma of skin, unspecified (C4491)",0,0.0
Dizziness and giddiness (R42),0,0.0
"Rheumatoid arthritis, unspecified (M069)",0,0.0
"Malignant melanoma of skin, unspecified (C439)",0,0.0
Solitary pulmonary nodule (R911),0,0.0
Abnormal weight gain (R635),0,0.0
Benign neoplasm of duodenum (D132),0,0.0
"Pain, not elsewhere classified (G89)",0,0.0
"Other disorders of kidney and ureter, not elsewhere classified (N28)",0,0.0
"Hyperglycemia, unspecified (R739)",0,7.645093285695264e-05
"Other joint disorder, not elsewhere classified (M25)",0,0.0
Enlarged lymph nodes (R59),0,0.0
Other benign neoplasms of skin (D23),0,0.0
Secondary and unspecified malignant neoplasm of lymph nodes (C77),0,0.0
Obstructive sleep apnea (adult) (pediatric) (G4733),0,0.0
Other benign neoplasm of skin of other parts of face (D2339),0,0.0
Unspecified sensorineural hearing loss (H905),0,0.0
Other inflammation of vagina and vulva (N76),0,0.0
Other specified disorders of eyelid (H0289),0,0.0
"Disorder of kidney and ureter, unspecified (N289)",0,0.0
Urgency of urination (R3915),0,0.0
Other ascites (R188),0,0.00014255585003928751
"Acute upper respiratory infection, unspecified (J069)",0,0.0
Sleep disorders not due to a substance or known physiological condition (F51),0,0.0
Other skin changes due to chronic exposure to nonionizing radiation (L578),0,0.0
Other fatigue (R5383),0,0.0
Hereditary and idiopathic neuropathy (G60),0,0.0
"Chronic obstructive pulmonary disease, unspecified (J449)",0,0.0
"Anxiety disorder, unspecified (F419)",0,0.0
Inflamed seborrheic keratosis (L820),0,0.0
Mononeuropathies of upper limb (G56),0,9.206008453993739e-06
"Other intervertebral disc degeneration, lumbar region (M5136)",0,0.0
Other seasonal allergic rhinitis (J302),0,0.0
Restless legs syndrome (G2581),0,4.5049954652861965e-05
Other diseases of intestine (K63),0,0.0
Melena (K921),0,2.4571916235263325e-05
"Mild intermittent asthma, uncomplicated (J4520)",0,0.0
Other and unspecified hearing loss (H91),0,0.0
Benign neoplasm of sigmoid colon (D125),0,0.0
"Convulsions, not elsewhere classified (R56)",0,0.0
"Liver disease, unspecified (K769)",0,2.263674319236035e-05
"Pure hypercholesterolemia, unspecified (E7800)",0,0.0002791475259182193
Chronic kidney disease (CKD) (N18),0,0.0
Unspecified visual disturbance (H539),0,0.0
Dry eye syndrome of unspecified lacrimal gland (H04129),0,0.0
"Thoracic, thoracolumbar, and lumbosacral intervertebral disc disorders (M51)",0,0.0
"Nicotine dependence, cigarettes, uncomplicated (F17210)",0,0.0
"Spinal stenosis, lumbar region (M4806)",0,0.0
Pain in right hip (M25551),0,4.792742446372024e-05
"Vitreous degeneration, unspecified eye (H43819)",0,0.0
Presbyopia (H524),0,6.942979095382041e-05
Abdominal and pelvic pain (R10),0,1.814634524488571e-05
"Thrombocytopenia, unspecified (D696)",0,2.8303533429712822e-05
"Other disorders of fluid, electrolyte and acid-base balance (E87)",0,0.0
Other spondylopathies (M48),0,0.0
Epigastric pain (R1013),0,3.7516326015000237e-06
Spondylosis (M47),0,0.0
"Hereditary and idiopathic neuropathy, unspecified (G609)",0,0.0
Unspecified contact dermatitis (L25),0,1.2890823869370614e-05
Residual hemorrhoidal skin tags (K644),0,0.0
Other peripheral vascular diseases (I73),0,0.0
Unspecified abdominal pain (R109),0,0.0
Other disorders of bone density and structure (M85),0,0.0
"Insomnia, unspecified (G4700)",0,0.0
Unspecified glaucoma (H409),0,0.0
Other symptoms and signs involving cognitive functions and awareness (R41),0,0.0
Age-related cataract (H25),0,0.0
Other bacterial agents as the cause of diseases classified elsewhere (B96),0,0.0
Type 2 diabetes mellitus with unspecified complications (E118),0,0.00010811494267913853
Irritable bowel syndrome (K58),0,5.179044160659639e-05
Right lower quadrant pain (R1031),0,0.0
Unspecified convulsions (R569),0,0.0
Benign neoplasm of esophagus (D130),0,6.52266899749265e-05
"Anemia, unspecified (D649)",0,0.0
Diverticular disease of intestine (K57),0,0.0
"Somnolence, stupor and coma (R40)",0,0.0
Other specified disorders of kidney and ureter (N2889),0,0.0
Gout (M10),0,0.0
"Acute bronchitis, unspecified (J209)",0,0.0
Chronic rhinitis (J310),0,0.0
"Unilateral primary osteoarthritis, left knee (M1712)",0,0.0
Abnormal and inconclusive findings on diagnostic imaging of breast (R92),0,0.0
Calculus of kidney and ureter (N20),0,0.0
Other disorders of urinary system (N39),0,0.00016072035925037494
Acute posthemorrhagic anemia (D62),0,0.0
"Unspecified osteoarthritis, unspecified site (M1990)",0,0.0
Cramp and spasm (R252),0,0.0
Pain in throat and chest (R07),0,0.0
Other chronic obstructive pulmonary disease (J44),0,0.0
Hyperkalemia (E875),0,1.16187798287634e-05
Pelvic and perineal pain (R102),0,0.0
Cystitis (N30),0,0.0
"Peripheral vascular disease, unspecified (I739)",0,0.0
"Noninfective gastroenteritis and colitis, unspecified (K529)",0,0.0
Alcohol related disorders (F10),0,0.0
Abnormal findings on diagnostic imaging of lung (R91),0,0.0
Other specified disorders of nose and nasal sinuses (J3489),0,0.0
Unspecified age-related cataract (H259),0,0.0
Nasal congestion (R0981),0,0.0
Other symptoms and signs involving the genitourinary system (R3989),0,0.0
Benign prostatic hyperplasia with lower urinary tract symptoms (N401),0,0.0
"Dysphagia, oropharyngeal phase (R1312)",0,0.0
Other retinal disorders (H35),0,0.0
"Hypothyroidism, unspecified (E039)",0,0.0
Migraine (G43),0,0.0
Diaphragmatic hernia (K44),0,0.00012566967340745522
Other anemias (D64),0,0.0
Abnormal findings on diagnostic imaging of other body structures (R93),0,0.0
Other rheumatoid arthritis (M06),0,0.0
Postmenopausal atrophic vaginitis (N952),0,0.0
Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH] (R740),0,0.0
"Hyperlipidemia, unspecified (E785)",0,0.0
Other specified soft tissue disorders (M7989),0,0.0
Nocturia (R351),0,0.0
Elevated prostate specific antigen [PSA] (R972),0,0.0
Shortness of breath (R0602),0,0.0
Other symptoms and signs involving the musculoskeletal system (R29898),0,0.0
Inguinal hernia (K40),0,0.0
Type 2 diabetes mellitus with other specified complication (E1169),0,0.0
Glaucoma (H40),0,0.0
"Acute kidney failure, unspecified (N179)",0,0.0
Atrophic disorders of skin (L90),0,0.0
Hypokalemia (E876),0,0.0
Tinea pedis (B353),0,0.0
Cellulitis and acute lymphangitis (L03),0,0.0
Melanocytic nevi (D22),0,4.6897214159608574e-05
"Pneumonia, unspecified organism (J18)",0,0.0
Age-related osteoporosis without current pathological fracture (M810),0,0.0
Other fecal abnormalities (R195),0,3.077563955007547e-05
"Benign neoplasm of colon, rectum, anus and anal canal (D12)",0,0.0
"Age-related nuclear cataract, unspecified eye (H2510)",0,0.0
"Male erectile dysfunction, unspecified (N529)",0,8.925336482945573e-05
Other specified symptoms and signs involving the circulatory and respiratory systems (R0989),0,0.0
Other chronic pain (G8929),0,0.0
"Unspecified blepharitis left eye, unspecified eyelid (H01006)",0,0.0
"Unilateral primary osteoarthritis, right knee (M1711)",0,0.0
"Other and unspecified dorsopathies, not elsewhere classified (M53)",0,0.0
Elevated prostate specific antigen [PSA] (R9720),0,0.0
Other disorders of bone (M89),0,0.0
Other nonspecific abnormal finding of lung field (R918),0,0.0
"Impacted cerumen, bilateral (H6123)",0,0.0
Nicotine dependence (F17),0,0.0
"Iron deficiency anemia, unspecified (D509)",0,1.5892546977765313e-05
Sebaceous cyst (L723),0,0.0
Male erectile dysfunction (N52),0,8.925336482945578e-05
"Radiculopathy, thoracic region (M5414)",0,0.0
Nontoxic single thyroid nodule (E041),0,0.0
Hepatic fibrosis (K740),0,0.000160387290540697
Other specified disorders of the skin and subcutaneous tissue (L988),0,0.0
"Local infection of the skin and subcutaneous tissue, unspecified (L089)",0,0.0
Other disorders of veins (I87),0,1.1822014634590067e-05
Benign prostatic hyperplasia (N40),0,0.0
Localized enlarged lymph nodes (R590),0,0.0
Dermatophytosis (B35),0,0.0
Type 2 diabetes mellitus with other diabetic ophthalmic complication (E1139),0,0.0
Other and unspecified dermatitis (L30),0,0.0
Other constipation (K5909),0,0.0
Abnormal results of function studies (R94),0,0.0
Pain in left knee (M25562),0,0.0
"Gout, unspecified (M109)",0,0.0
"Unspecified astigmatism, bilateral (H52203)",0,0.0
"Unspecified hearing loss, unspecified ear (H9190)",0,0.0
Iron deficiency anemia (D50),0,1.5920280954045964e-05
Acute upper respiratory infections of multiple and unspecified sites (J06),0,0.0
"Finding of other specified substances, not normally found in blood (R7889)",0,0.0
Pain in left leg (M79605),0,0.0
Malignant neoplasm of prostate (C61),0,4.898218221046134e-05
"Diarrhea, unspecified (R197)",0,8.835307193688817e-05
Benign neoplasm of ascending colon (D122),0,2.5980929742241636e-05
"Seborrheic dermatitis, unspecified (L219)",0,7.3946279425614476e-06
Other muscle spasm (M62838),0,0.0
Acute kidney failure (N17),0,0.0
"Major depressive disorder, recurrent, moderate (F331)",0,0.0
Acute pharyngitis (J02),0,0.0
"Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified (T45)",0,0.0
"Radiculopathy, lumbar region (M5416)",0,0.0
Primary insomnia (F5101),0,0.0
Benign prostatic hyperplasia without lower urinary tract symptoms (N400),0,0.0
Left upper quadrant pain (R1012),0,0.0
Hemorrhoids and perianal venous thrombosis (K64),0,6.832666222152749e-05
Other specified bacterial agents as the cause of diseases classified elsewhere (B9689),0,0.0
"Carpal tunnel syndrome, unspecified upper limb (G5600)",0,9.206008453993739e-06
Hemangioma of skin and subcutaneous tissue (D1801),0,1.2656765293672035e-05
Abnormal levels of other serum enzymes (R748),0,0.0
Pain in right foot (M79671),0,0.0
Chronic viral hepatitis (B18),0,6.713870395510144e-05
"Vitreous degeneration, bilateral (H43813)",0,0.0
Other abnormal glucose (R7309),0,0.0
"Unspecified hearing loss, bilateral (H9193)",0,0.0
Stress incontinence (female) (male) (N393),0,0.0
Ascites (R18),0,0.00014255585003928751
Vasomotor and allergic rhinitis (J30),0,0.0
Pure hypercholesterolemia (E780),0,0.0
Abnormalities of breathing (R06),0,0.0
Other diseases of anus and rectum (K62),0,0.0
"Other disorders involving the immune mechanism, not elsewhere classified (D89)",0,0.0
Pruritus (L29),0,6.30044993352438e-05
"Disorder of thyroid, unspecified (E079)",0,0.0
"Spondylosis without myelopathy or radiculopathy, lumbosacral region (M47817)",0,0.0
Hyperparathyroidism and other disorders of parathyroid gland (E21),0,0.0
Left lower quadrant pain (R1032),0,4.878954821171141e-06
"Obesity, unspecified (E669)",0,0.0
"Skin changes due to chronic exposure to nonionizing radiation, unspecified (L579)",0,0.0
Muscle weakness (generalized) (M6281),0,0.0
Gastro-esophageal reflux disease with esophagitis (K210),0,0.00010555901615558189
Plantar fascial fibromatosis (M722),0,0.0
Benign neoplasm of lymph nodes (D360),0,0.0
"Acute pharyngitis, unspecified (J029)",0,0.0
Other chest pain (R0789),0,0.0
Weakness (R531),0,0.0
Other noninflammatory disorders of vagina (N89),0,0.0
"Edema, unspecified (R609)",0,0.0
Venous insufficiency (chronic) (peripheral) (I872),0,1.1822014634590067e-05
"Other benign neoplasm of skin, unspecified (D239)",0,3.55196762479034e-05
Retention of urine (R33),0,0.0
Syncope and collapse (R55),0,8.655975942885923e-06
Vitamin D deficiency (E55),0,0.0
Unspecified hemorrhoids (K649),0,0.0001234381666595863
"Disorder involving the immune mechanism, unspecified (D899)",0,0.0
Other and unspecified disorders of nose and nasal sinuses (J34),0,0.0
"Spondylosis without myelopathy or radiculopathy, lumbar region (M47816)",0,0.0
"Migraine with aura, not intractable, without status migrainosus (G43109)",0,0.0
Benign neoplasm of stomach (D131),0,0.00017178375401949748
"Malignant (primary) neoplasm, unspecified (C801)",0,0.0
Overweight and obesity (E66),0,0.0
"Chest pain, unspecified (R079)",0,0.0
"Melanocytic nevi, unspecified (D229)",0,4.6897214159608574e-05
Other and unspecified arthropathy (M12),0,0.0
Benign neoplasm of rectum (D128),0,0.0
"Cardiac murmur, unspecified (R011)",0,0.0
Other dorsalgia (M5489),0,0.0
Other symptoms and signs involving the digestive system and abdomen (R19),0,0.00014790490922815183
Morbid (severe) obesity due to excess calories (E6601),0,4.721735352807485e-05
"Combined forms of age-related cataract, bilateral (H25813)",0,0.0
Benign neoplasm of other and unspecified sites (D36),0,0.0
"Hypermetropia, bilateral (H5203)",0,0.0
"Localized swelling, mass and lump, neck (R221)",0,0.0
Other and unspecified noninfective gastroenteritis and colitis (K52),0,0.0
Other cataract (H26),0,0.0
Iron deficiency anemia secondary to blood loss (chronic) (D500),0,0.0
Other hemorrhoids (K648),0,1.0849177948898747e-05
"Major depressive disorder, single episode (F32)",0,0.0
Xerosis cutis (L853),0,0.0
Abdominal distension (gaseous) (R140),0,0.0
Irritable bowel syndrome without diarrhea (K589),0,5.179044160659643e-05
"Age-related nuclear cataract, bilateral (H2513)",0,0.0
Disorders of lipoprotein metabolism and other lipidemias (E78),0,0.0
Generalized abdominal pain (R1084),0,0.0
"Localized swelling, mass and lump of skin and subcutaneous tissue (R22)",0,0.0
Other abnormal findings of blood chemistry (R79),0,2.3608601606063477e-05
Other and unspecified malignant neoplasm of skin (C44),0,0.0
Menopausal and female climacteric states (N951),0,2.166993512725495e-05
Menopausal and other perimenopausal disorders (N95),0,0.0
Asthma (J45),0,0.0
"Pneumonia, unspecified organism (J189)",0,0.0
Benign neoplasm of other and ill-defined parts of digestive system (D13),0,0.00023607010108397605
Other and unspecified symptoms and signs involving the genitourinary system (R39),0,0.0
Other malaise (R5381),0,0.0
"Sacrococcygeal disorders, not elsewhere classified (M533)",0,0.0
Calculus of kidney (N200),0,0.0
Other anxiety disorders (F41),0,0.0
Other inflammation of eyelid (H01),0,4.98999537048626e-05
Rash and other nonspecific skin eruption (R21),0,0.0
Dysphonia (R490),0,0.0
"Malignant neoplasm of bladder, unspecified (C679)",0,0.0
Cardiac murmurs and other cardiac sounds (R01),0,0.0
Pure hyperglyceridemia (E781),0,0.0
Dysuria (R300),0,0.0
Neoplasm related pain (acute) (chronic) (G893),0,0.0
Malaise and fatigue (R53),0,0.0
Other abnormal and inconclusive findings on diagnostic imaging of breast (R928),0,0.0
"Polyneuropathy, unspecified (G629)",0,0.0
"Retention of urine, unspecified (R339)",0,0.0
Pain in right shoulder (M25511),0,0.0
Other disorders of white blood cells (D72),0,0.0
"Type 2 diabetes mellitus with diabetic neuropathy, unspecified (E1140)",0,0.0
Other specified disorders of brain (G9389),0,0.0
Aphagia and dysphagia (R13),0,0.0
Nausea (R110),0,0.0
"Unilateral inguinal hernia, without obstruction or gangrene, not specified as recurrent (K4090)",0,0.0
Nausea and vomiting (R11),0,0.0
Benign neoplasm of cecum (D120),0,0.0
"Unspecified blepharitis unspecified eye, unspecified eyelid (H01009)",0,5.546210689681197e-05
"Radiculopathy, cervical region (M5412)",0,0.0
"Age-related nuclear cataract, right eye (H2511)",0,0.0
"Other intervertebral disc displacement, lumbar region (M5126)",0,0.0
"Unspecified astigmatism, unspecified eye (H52209)",0,0.0
"Difficulty in walking, not elsewhere classified (R262)",0,0.0
Other respiratory disorders (J98),0,0.0
"Preglaucoma, unspecified, unspecified eye (H40009)",0,0.0
Bilateral primary osteoarthritis of knee (M170),0,0.0
Type 2 diabetes mellitus with unspecified diabetic retinopathy without macular edema (E11319),0,0.0
Acute bronchitis (J20),0,0.0
"Cellulitis, unspecified (L0390)",0,0.0
Essential (primary) hypertension (I10),0,6.0851399639882755e-05
Generalized anxiety disorder (F411),0,0.0
Pain in left shoulder (M25512),0,0.0
Rosacea (L71),0,0.0
"Pain, unspecified (R52)",0,0.0
"Disorder of bone, unspecified (M899)",0,0.0
"Dysphagia, unspecified (R1310)",0,0.0
Sleep disorders (G47),0,0.0
Other allergic rhinitis (J3089),0,0.0
Disorders of refraction and accommodation (H52),0,0.0
"Lumbago with sciatica, right side (M5441)",0,0.0
Polyuria (R35),0,0.0
Pain in unspecified shoulder (M25519),0,0.0
Other epidermal thickening (L85),0,0.0
"Age-related nuclear cataract, left eye (H2512)",0,0.0
Disorders of vitreous body (H43),0,0.0
Skin changes due to chronic exposure to nonionizing radiation (L57),0,0.0
"Disorder of the skin and subcutaneous tissue, unspecified (L989)",0,5.815876100525781e-05
"Myopia, bilateral (H5213)",0,0.0
Osteoarthritis of hip (M16),0,0.0
Other benign neoplasm of skin of trunk (D235),0,0.0
Other diseases of stomach and duodenum (K31),0,7.418653313151753e-05
Gas pain (R141),0,0.0
Abnormal serum enzyme levels (R74),0,0.0
Volume depletion (E86),0,0.0
"Lumbago with sciatica, left side (M5442)",0,0.0
Other specified abnormal findings of blood chemistry (R7989),0,2.3608601606063477e-05
Unspecified disorder of refraction (H527),0,0.0
Other functional intestinal disorders (K59),0,0.0
Malignant melanoma of skin (C43),0,0.0
"Chronic kidney disease, unspecified (N189)",0,0.0
Scar conditions and fibrosis of skin (L905),0,0.0
Elevated blood glucose level (R73),0,8.658353911474775e-05
"Chronic fatigue, unspecified (R5382)",0,0.0
Other disorders of thyroid (E07),0,0.0
Diverticulosis of large intestine without perforation or abscess without bleeding (K5730),0,0.0
"Unspecified asthma, uncomplicated (J45909)",0,0.0
Benign neoplasm of unspecified part of small intestine (D1330),0,1.5996074177628785e-05
"Nausea with vomiting, unspecified (R112)",0,0.0
Unspecified severe protein-calorie malnutrition (E43),0,0.0
"Bronchitis, not specified as acute or chronic (J40)",0,0.0
Ataxic gait (R260),0,2.2139730745207433e-05
"Chronic kidney disease, stage 3 (moderate) (N183)",0,0.0
Hemorrhage of anus and rectum (K625),0,0.0
Other diseases of stomach and duodenum (K3189),0,7.418653313151754e-05
Pain in right leg (M79604),0,0.0
"Lower abdominal pain, unspecified (R1030)",0,2.633572774553459e-06
Other and unspecified polyneuropathies (G62),0,0.0
Other symptoms and signs involving cognitive functions and awareness (R4189),0,0.0
Pain in left foot (M79672),0,0.0
Other disorders of eyelid (H02),0,0.0
Other hypothyroidism (E03),0,0.0
Postnasal drip (R0982),0,0.0
"Hyperparathyroidism, unspecified (E213)",0,0.0
"Myositis, unspecified (M609)",0,0.0
"Other disorders of skin and subcutaneous tissue, not elsewhere classified (L98)",0,3.210082573327997e-05
Somnolence (R400),0,0.0
Other general symptoms and signs (R68),0,0.0
Vasomotor rhinitis (J300),0,0.0
Benign neoplasm of descending colon (D124),0,0.0
Other disorders of brain (G93),0,0.0
Chronic viral hepatitis C (B182),0,6.713870395510144e-05
Zoster without complications (B029),0,2.7480800723139535e-05
Mixed hyperlipidemia (E782),0,0.00024724706986484197
Other specified diseases of liver (K7689),0,6.53748724832424e-05
"Unspecified rotator cuff tear or rupture of unspecified shoulder, not specified as traumatic (M75100)",0,0.0
Other noninfective disorders of lymphatic vessels and lymph nodes (I89),0,0.0
Pain in thoracic spine (M546),0,1.5009276396070107e-05
Seborrheic dermatitis (L21),0,7.394627942561435e-06
Follicular cysts of skin and subcutaneous tissue (L72),0,0.0
"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter (T451X5A)",0,0.0
"Unspecified contact dermatitis, unspecified cause (L259)",0,1.2890823869370595e-05
Other obesity due to excess calories (E6609),0,0.0
"Viral wart, unspecified (B079)",0,0.0
